FirstName1 LastName1  associate 75214.89
FirstName2 LastName2  assistant 75232.35
FirstName3 LastName3  associate 61673.26
FirstName4 LastName4  full 123023.30
FirstName5 LastName5  full 87032.10
FirstName6 LastName6  full 99089.73
FirstName7 LastName7  assistant 50101.55
FirstName8 LastName8  full 106163.71
FirstName9 LastName9  assistant 52396.47
FirstName10 LastName10  full 86201.08
FirstName11 LastName11  full 85667.17
FirstName12 LastName12  assistant 70788.95
FirstName13 LastName13  assistant 77538.45
FirstName14 LastName14  associate 62656.59
FirstName15 LastName15  assistant 70098.04
FirstName16 LastName16  associate 86693.03
FirstName17 LastName17  associate 89224.79
FirstName18 LastName18  associate 80018.99
FirstName19 LastName19  associate 78840.81
FirstName20 LastName20  full 116758.86
FirstName21 LastName21  full 118162.89
FirstName22 LastName22  assistant 65233.46
FirstName23 LastName23  full 103706.94
FirstName24 LastName24  assistant 55013.05
FirstName25 LastName25  associate 106471.21
FirstName26 LastName26  associate 82074.91
FirstName27 LastName27  full 112149.13
FirstName28 LastName28  full 120968.32
FirstName29 LastName29  assistant 77580.15
FirstName30 LastName30  assistant 66753.14
FirstName31 LastName31  associate 76481.51
FirstName32 LastName32  associate 71972.72
FirstName33 LastName33  associate 71332.26
FirstName34 LastName34  full 113520.81
FirstName35 LastName35  full 124777.75
FirstName36 LastName36  associate 66380.00
FirstName37 LastName37  associate 104267.42
FirstName38 LastName38  associate 86072.27
FirstName39 LastName39  full 99264.77
FirstName40 LastName40  assistant 56575.73
FirstName41 LastName41  full 88987.69
FirstName42 LastName42  full 109336.45
FirstName43 LastName43  assistant 63816.88
FirstName44 LastName44  full 75683.34
FirstName45 LastName45  associate 93343.53
FirstName46 LastName46  full 98709.63
FirstName47 LastName47  full 115927.21
FirstName48 LastName48  full 89347.31
FirstName49 LastName49  full 93104.14
FirstName50 LastName50  full 128067.48
FirstName51 LastName51  full 75353.03
FirstName52 LastName52  assistant 77496.12
FirstName53 LastName53  full 79489.66
FirstName54 LastName54  associate 108359.68
FirstName55 LastName55  associate 95437.25
FirstName56 LastName56  full 107503.26
FirstName57 LastName57  associate 104300.54
FirstName58 LastName58  assistant 50835.28
FirstName59 LastName59  associate 84926.03
FirstName60 LastName60  full 120929.07
FirstName61 LastName61  full 83339.17
FirstName62 LastName62  full 110877.15
FirstName63 LastName63  assistant 50401.68
FirstName64 LastName64  associate 99405.76
FirstName65 LastName65  full 89534.79
FirstName66 LastName66  assistant 63282.34
FirstName67 LastName67  assistant 51140.43
FirstName68 LastName68  full 129847.06
FirstName69 LastName69  associate 106529.84
FirstName70 LastName70  assistant 74554.91
FirstName71 LastName71  assistant 57560.70
FirstName72 LastName72  full 100175.07
FirstName73 LastName73  associate 70080.65
FirstName74 LastName74  associate 107580.27
FirstName75 LastName75  full 78156.24
FirstName76 LastName76  full 84649.37
FirstName77 LastName77  full 90874.00
FirstName78 LastName78  associate 102169.97
FirstName79 LastName79  full 87294.67
FirstName80 LastName80  assistant 74040.80
FirstName81 LastName81  assistant 66033.79
FirstName82 LastName82  full 114469.36
FirstName83 LastName83  associate 76916.85
FirstName84 LastName84  assistant 54190.46
FirstName85 LastName85  full 83458.59
FirstName86 LastName86  assistant 54685.78
FirstName87 LastName87  associate 75168.79
FirstName88 LastName88  assistant 67409.64
FirstName89 LastName89  assistant 68168.00
FirstName90 LastName90  full 110924.75
FirstName91 LastName91  associate 78090.48
FirstName92 LastName92  assistant 72673.33
FirstName93 LastName93  full 114093.40
FirstName94 LastName94  associate 85639.62
FirstName95 LastName95  associate 79848.04
FirstName96 LastName96  assistant 79225.39
FirstName97 LastName97  full 123340.18
FirstName98 LastName98  assistant 58020.14
FirstName99 LastName99  associate 84502.64
FirstName100 LastName100  full 87568.51
FirstName101 LastName101  full 78108.16
FirstName102 LastName102  associate 62032.26
FirstName103 LastName103  associate 108765.39
FirstName104 LastName104  full 120836.97
FirstName105 LastName105  full 89355.69
FirstName106 LastName106  full 104315.74
FirstName107 LastName107  assistant 64420.00
FirstName108 LastName108  full 129419.33
FirstName109 LastName109  associate 100646.04
FirstName110 LastName110  associate 87660.16
FirstName111 LastName111  full 113089.91
FirstName112 LastName112  assistant 74807.61
FirstName113 LastName113  full 109650.05
FirstName114 LastName114  full 90044.75
FirstName115 LastName115  associate 101634.81
FirstName116 LastName116  assistant 71861.53
FirstName117 LastName117  associate 69828.81
FirstName118 LastName118  full 109852.91
FirstName119 LastName119  assistant 52568.25
FirstName120 LastName120  assistant 79515.50
FirstName121 LastName121  full 78911.97
FirstName122 LastName122  associate 88444.40
FirstName123 LastName123  associate 83239.05
FirstName124 LastName124  assistant 52158.44
FirstName125 LastName125  associate 62279.98
FirstName126 LastName126  assistant 79659.33
FirstName127 LastName127  full 122072.56
FirstName128 LastName128  associate 66500.12
FirstName129 LastName129  full 92583.08
FirstName130 LastName130  associate 94064.25
FirstName131 LastName131  assistant 56759.77
FirstName132 LastName132  full 97078.41
FirstName133 LastName133  associate 75166.89
FirstName134 LastName134  associate 88536.37
FirstName135 LastName135  associate 71634.89
FirstName136 LastName136  full 114542.53
FirstName137 LastName137  associate 105538.04
FirstName138 LastName138  assistant 50014.41
FirstName139 LastName139  full 115406.73
FirstName140 LastName140  full 92693.22
FirstName141 LastName141  associate 82960.97
FirstName142 LastName142  full 128428.78
FirstName143 LastName143  assistant 77582.01
FirstName144 LastName144  assistant 66719.56
FirstName145 LastName145  full 104480.70
FirstName146 LastName146  associate 85427.08
FirstName147 LastName147  associate 62964.21
FirstName148 LastName148  full 89846.76
FirstName149 LastName149  full 99564.59
FirstName150 LastName150  assistant 67486.02
FirstName151 LastName151  associate 66032.83
FirstName152 LastName152  assistant 77748.23
FirstName153 LastName153  full 80923.12
FirstName154 LastName154  assistant 57920.34
FirstName155 LastName155  associate 95907.30
FirstName156 LastName156  associate 98537.30
FirstName157 LastName157  full 102378.77
FirstName158 LastName158  associate 61471.20
FirstName159 LastName159  assistant 54579.22
FirstName160 LastName160  full 107414.58
FirstName161 LastName161  assistant 50883.48
FirstName162 LastName162  full 97321.47
FirstName163 LastName163  full 103646.66
FirstName164 LastName164  full 120945.49
FirstName165 LastName165  assistant 63671.13
FirstName166 LastName166  full 95289.59
FirstName167 LastName167  associate 66726.12
FirstName168 LastName168  assistant 56450.33
